mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
160.56505119800568,1.0179256200790405,12.321815133094788,0.3285471200942993,,1,2,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.7778970940105382,0.77773469126859,0.7778158926395641,8.12013709741155e-05,24
325.0274087190628,0.47661030292510986,27.324244022369385,0.3106050491333008,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7792500548641605,0.7793135040695445,0.7792817794668525,3.1724602691962644e-05,20
156.5679166316986,0.0765695571899414,11.83912467956543,0.050545454025268555,,1,5,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.7779397069508097,0.7778902288319768,0.7779149678913932,2.473905941646759e-05,23
332.68730080127716,2.294838070869446,27.039424061775208,0.33054864406585693,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7795163857408579,0.7792154940980952,0.7793659399194766,0.00015044582138135087,19
159.47505974769592,1.321202039718628,11.819105744361877,0.46992790699005127,,2,2,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.7782763491789552,0.7785272936463971,0.7784018214126761,0.00012547223372094685,22
322.1152946949005,2.2933733463287354,27.93498384952545,1.7575980424880981,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.779829590851854,0.7799910512634763,0.7799103210576652,8.073020581117474e-05,18
154.4552149772644,0.10559606552124023,11.68398654460907,0.16114675998687744,,2,5,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.7789453723412189,0.7785251629948439,0.7787352676680314,0.00021010467318749448,21
329.9160622358322,13.550079226493835,23.448768496513367,0.5742567777633667,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7800916604345242,0.7801210210082243,0.7801063407213742,1.4680286850088375e-05,17
61.45689630508423,0.21560978889465332,3.6805126667022705,0.27408385276794434,10,1,2,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.7814403599941194,0.7816273916563685,0.7815338758252439,9.351583112454653e-05,3
138.60208523273468,8.168861031532288,7.467648267745972,0.20168066024780273,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7815064100515403,0.781493160608514,0.7814997853300272,6.6247215131376436e-06,6
68.04986763000488,0.03202962875366211,3.6782010793685913,0.1351228952407837,10,1,5,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.7815277165216762,0.781648698171901,0.7815882073467886,6.0490825112391455e-05,2
139.23606777191162,3.9926300048828125,7.828963756561279,0.9728844165802002,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7815831133440292,0.7816273916563685,0.7816052525001989,2.2139156169664886e-05,1
68.2410101890564,2.2925829887390137,4.022833824157715,0.12328934669494629,10,2,2,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.781402008347875,0.7816337836110282,0.7815178959794515,0.00011588763157660553,4
142.8502480983734,1.1289424896240234,7.358528137207031,0.13112449645996094,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7813359582904541,0.7816785272936464,0.7815072427920502,0.00017128450159614728,5
69.24325299263,1.6892144680023193,4.748673677444458,1.0359292030334473,10,2,5,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.7812741695270603,0.7815379042911322,0.7814060369090963,0.00013186738203596615,9
136.61571180820465,1.5708543062210083,7.235009789466858,0.1357022523880005,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.781402008347875,0.7815357736395789,0.781468890993727,6.688264585197334e-05,7
137.37132275104523,3.8895422220230103,8.53361427783966,0.2042011022567749,20,1,2,50,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.7802834186657462,0.7804512719989772,0.7803673453323617,8.392666661549697e-05,16
255.39199805259705,1.2417526245117188,13.96564269065857,0.5106229782104492,20,1,2,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7811825517054763,0.7810947287680573,0.7811386402367668,4.391146870952323e-05,12
130.28879070281982,3.512355327606201,8.368940353393555,0.6816205978393555,20,1,5,50,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.7808288643012223,0.7807644777773043,0.7807966710392633,3.219326195902372e-05,14
